Sig,Std Dev
7.195515542617333e-06,8.814479815796075e-09
7.210648557676752e-06,5.780900523002121e-09
9.682721426940893e-06,8.360286824551724e-09
5.227793055496678e-06,7.211977995917241e-09
5.356040312712134e-06,6.535672630485082e-09
6.499971395685591e-06,7.652341311327472e-09
4.789361736436696e-06,6.5906226669467625e-09
5.711126836837706e-06,6.403978962625119e-09
4.804443805506369e-06,7.030745478474801e-09
5.7257748068482355e-06,7.303110139496023e-09
6.158070707310263e-06,6.510036914253578e-09
7.131159372211554e-06,7.922750519668046e-09
7.75086744004557e-06,6.635814271751055e-09
6.984880224943518e-06,7.3919864089301334e-09
7.637216466732383e-06,8.95413091567333e-09
6.854549606588941e-06,8.871324200769663e-09
6.103305690186882e-06,7.980417593223879e-09
4.803743288569008e-06,7.708221467106357e-09
6.583583900711606e-06,7.860371184224736e-09
5.387682653882651e-06,6.447391304962005e-09
6.549325517930064e-06,7.928985944687389e-09
5.599993603281357e-06,8.019220199954773e-09
5.252308184227447e-06,6.734167523360205e-09
4.954089745173852e-06,6.621699455349626e-09
3.438498988351161e-06,5.7121643181543715e-09
3.8577956689553825e-06,6.0853865053620415e-09
4.805622422492379e-06,7.193160148025456e-09
5.452973957198339e-06,7.013593933050122e-09
5.819248909960894e-06,7.180371966483591e-09
5.204875903026109e-06,7.310925009362752e-09
6.3373057821426966e-06,8.615049757440582e-09
5.497593776489156e-06,7.106161575898931e-09
4.852657906222522e-06,6.682342329788297e-09
7.70132056491421e-06,8.23263829765377e-09
7.3012737497391475e-06,8.565244074325443e-09
8.41999902300659e-06,8.543583740407899e-09
7.5423548479593396e-06,7.001410635068705e-09
5.870889153061742e-06,8.817176675112497e-09
7.123194327793857e-06,7.260579457189019e-09
6.759749837528647e-06,8.237471629264146e-09
9.918720617455694e-06,9.201739051702795e-09
9.530063693674502e-06,7.154511095949469e-09
1.095571627304417e-05,7.537271414514406e-09
9.697022480802205e-06,7.548992029223505e-09
1.2629275201385074e-05,7.007581061562602e-09
1.1979889532210535e-05,7.39745594717346e-09
1.2783985328607052e-05,8.44698775772661e-09
1.2474624326784484e-05,6.803091431782711e-09
1.1714905332445555e-05,8.491091518964446e-09
1.0785572358025972e-05,9.420330175017348e-09
1.1711603392660386e-05,7.322475314965646e-09
1.3807068852448469e-05,1.0065409934302278e-08
1.6125484925983793e-05,9.279565643497713e-09
1.749064521681525e-05,7.881867468097945e-09
1.763196617216356e-05,8.485301124170409e-09
1.949979786383583e-05,8.658789571947017e-09
2.16012372083332e-05,9.494284204657558e-09
2.2998763866803336e-05,8.09263956706361e-09
2.1457197253706988e-05,8.018686612374974e-09
2.3289104866879324e-05,6.715031864527443e-09
2.288256181388696e-05,9.056755808845029e-09
2.505460129274228e-05,9.112267624957593e-09
2.6814026994015677e-05,9.162937146099188e-09
2.783314035372434e-05,8.12390487175954e-09
2.8331074914127023e-05,7.799003564035287e-09
3.003473694069081e-05,8.292894490337901e-09
3.218063683724444e-05,8.183196499191166e-09
3.3571177952426226e-05,7.341654312677999e-09
3.535887928838691e-05,9.854170215933988e-09
3.664487086905517e-05,8.862004751337241e-09
3.989711258518683e-05,1.0088405272652252e-08
4.2176653297996894e-05,8.694014429555742e-09
4.2638641719708385e-05,9.439706383344372e-09
4.6562172018353296e-05,9.679832113233584e-09
5.053433930352381e-05,9.774319589175875e-09
5.194313399094768e-05,8.406816619271741e-09
5.569941483380429e-05,1.0646814869329501e-08
5.595465787461837e-05,8.996777741695785e-09
5.62655231147383e-05,9.723404503276354e-09
5.921678270560981e-05,1.0028009343227865e-08
5.982485479484573e-05,1.1085409409043593e-08
5.928951667959983e-05,1.0632346509094327e-08
6.504840978831963e-05,9.65363506535124e-09
6.446653149162598e-05,9.887243739769273e-09
6.677616119082479e-05,1.1107456813274032e-08
6.886784986515502e-05,9.856721699847639e-09
6.983843736448146e-05,8.904526272221148e-09
7.037204493434258e-05,9.49545175637621e-09
7.0970447718279e-05,1.0846672130040799e-08
7.122190847298479e-05,1.1319361919591826e-08
7.147511061479173e-05,1.1086700661912082e-08
7.050403334247139e-05,1.1797435155655292e-08
7.190371542975559e-05,8.887108952818912e-09
6.909414752477491e-05,1.0705834338047645e-08
6.951918030195475e-05,7.332720323779292e-09
6.733096412896581e-05,1.0258597942911957e-08
6.596415134059401e-05,9.783928251877777e-09
6.434751620056989e-05,9.421064294480463e-09
6.431567872212245e-05,1.0053234920242615e-08
6.4253884949224e-05,8.577229088431654e-09
6.289145804360298e-05,1.0130847380571315e-08
6.222678850530693e-05,1.0448460354549193e-08
5.968549981666321e-05,8.889389567265503e-09
5.8736313495237346e-05,9.736792912365941e-09
5.722613793672079e-05,9.833377768887283e-09
5.502697007728964e-05,9.533523448821366e-09
5.41862228693338e-05,8.033452212580206e-09
5.314549637952786e-05,8.316100881000296e-09
5.1680876726695454e-05,9.268447911494261e-09
5.176706436563605e-05,1.0571059997325806e-08
4.891343845705248e-05,8.911631656056221e-09
4.7822176139282004e-05,1.1650498189156734e-08
4.723529078774556e-05,8.719685460257085e-09
4.630127678615099e-05,8.247884227237473e-09
4.580795083961136e-05,9.79964578333202e-09
4.4269228949513935e-05,9.632138467624838e-09
4.398786134547757e-05,7.494302445726008e-09
4.3301774853728934e-05,9.656854707759952e-09
4.308788922689484e-05,8.82905496742102e-09
4.049454522205946e-05,8.325027371267908e-09
4.044888222071591e-05,1.000735779172619e-08
3.8331674137942886e-05,8.040489933697568e-09
3.9659173593514415e-05,7.217886087949228e-09
3.852508153516682e-05,8.125727219893012e-09
3.711098186855472e-05,9.939584063591859e-09
3.815615697784387e-05,8.686435798513294e-09
3.733366656573014e-05,7.751226393349414e-09
3.874032294473232e-05,8.566541713380686e-09
3.438283982536749e-05,8.799468300066122e-09
3.578413659645019e-05,8.421310083981276e-09
3.58940545885101e-05,7.908612517526093e-09
3.574388778412597e-05,9.209037691493804e-09
3.451989248438354e-05,7.454768049591562e-09
3.2525403902271686e-05,7.990082888054555e-09
3.297116947247243e-05,7.131755158196868e-09
3.303051558098928e-05,8.037070964462644e-09
3.2573669821922294e-05,6.546144658223354e-09
3.196548400514909e-05,6.567299231502811e-09
3.075275685690879e-05,9.691330773978339e-09
2.947519875091131e-05,7.258199293200176e-09
3.0296557920576257e-05,7.177734599969226e-09
2.747844555669663e-05,7.168512651358261e-09
2.7093853375044637e-05,7.864652565274392e-09
2.7097560032269834e-05,6.784670099565041e-09
2.7378405792005325e-05,7.618656186966648e-09
2.5418207978690588e-05,7.233496503266646e-09
2.557774321831938e-05,6.1562586558128955e-09
2.5592400532234605e-05,6.544847014236319e-09
2.5933179932966317e-05,8.425362196491064e-09
2.534029898143748e-05,7.250915560922733e-09
2.494346088931213e-05,7.578637021080514e-09
2.5572892667568697e-05,6.78558513362852e-09
2.5678078108666908e-05,6.747788700544449e-09
2.6079017439043728e-05,7.811367918637687e-09
2.6251236405251196e-05,6.499569622717383e-09
2.582436297357236e-05,7.883036117272938e-09
2.6099713985738467e-05,6.706675243986473e-09
2.456971314719825e-05,7.959860897909824e-09
2.7369677307617762e-05,6.473009134445127e-09
2.7677737059900017e-05,6.246816071998909e-09
2.588482156675829e-05,6.980627588616475e-09
2.7467817858626417e-05,7.3865716690441836e-09
2.9347207472661174e-05,6.560551026099215e-09
2.7062668467988736e-05,7.062180657765084e-09
2.8860355156310545e-05,9.306987157297219e-09
2.8931085893703135e-05,1.0377816167477579e-08
2.8344441739445324e-05,8.696190092627723e-09
2.8370576564466514e-05,8.041767251257418e-09
2.780716704139774e-05,8.340399684754526e-09
2.7696787254602e-05,6.954819621719695e-09
2.6763744882490932e-05,6.8102743769787215e-09
2.5119586125035796e-05,7.491173020859635e-09
2.5187569766189125e-05,6.716162783807448e-09
2.3733821230003622e-05,9.707906849968209e-09
