Date,Label,Sets,Pump,Stokes,Probe,Frequency,Signal,Num Avgs,Notes
,1cm CS2,1,,3,,1/frequency.csv,1/signal.csv,0,
,1cm CS2,1,,3,,1/frequency.csv,1/signal.csv,0,
