Date,Label,Run,Data,Start Time,End Time (hr:min:sec),Pump,Stokes,Probe,Frequency,Signal,Range,Dwell,Bandwidth,Data Rate,Order,Start Frequency, Stop Frequency,Step,Notes
23-06-20,,1,Background,15:08:45,15:42:11,,,,,,0.02,1,1000,1.842000e+09,8,1.130000e+10,1.280000e+10,5.045600e+06,
23-06-20,,1,Signal,15:42:31,16:15:56,,,,1/frequency.csv,1/signal.csv,0.02,1,1000,1.842000e+09,8,1.130000e+10,1.280000e+10,5.045600e+06,
