Date,Label,Run,Start Time,End Time (hr:min:sec),Pump,Stokes,Probe,Frequency,Signal,Range,Dwell,Bandwidth,Data Rate,Order,Start Frequency,Stop Frequency,Step,Notes
23-09-18,5 MHz step,1,12:00:20,12:11:29,,,,1/frequency.csv,1/signal.csv,0.04,1,200,1.842000e+09,8,2.300000e+09,2.800000e+09,5.045600e+06,
23-09-18,1 MHz step,2,15:57:47,19:42:02,,,,2/frequency.csv,2/signal.csv,0.04,5,200,1.842000e+09,8,2.300000e+09,2.800000e+09,1.045600e+06,check higher freq (heated liquid?)
