Date,Label,Run,Data,Start Time,End Time (hr:min:sec),Pump,Stokes,Probe,Frequency,Signal,Range,Dwell,Bandwidth,Data Rate,Order,Start Frequency, Stop Frequency,Step,Notes
23-09-18,,3,Background,11:04:48,11:15:57,,,,,,0.04,1,200,1.842000e+09,8,2.300000e+09,2.800000e+09,5.045600e+06,
23-09-18,,3,Signal,11:17:03,11:28:13,,,,3/frequency.csv,3/signal.csv,0.04,1,200,1.842000e+09,8,2.300000e+09,2.800000e+09,5.045600e+06,
