Date,Label,Run,Data,Start Time,End Time (hr:min:sec),Pump,Stokes,Probe,Frequency,Signal,Range,Dwell,Bandwidth,Data Rate,Order,Start Frequency, Stop Frequency,Step,Num Avgs,Pump Laser,Probe Laser,Stokes Filter,Probe Filter,Notes
24-06-27,,2,Background,14:04:52,14:18:36,,,,,,0.6,0.5,100,1.842000e+09,8,9.000000e+09,1.000000e+10,5.004567e+06,5,,,,,
24-06-27,,2,Background,14:30:16,14:44:06,,,,,,0.02,0.5,100,1.842000e+09,8,9.000000e+09,1.000000e+10,5.004567e+06,5,,,,,
24-06-27,,2,Signal,14:44:43,14:58:33,,,,,2/frequency.csv,2/signal.csv,0.02,0.5,100,1.842000e+09,8,9.000000e+09,1.000000e+10,5.004567e+06,5,,,,,
