pu+pr-b,pu pr,,Should be 0,,,,,anti-Stokes
Amp,Amp,,,,,,,
-53.66,-53.87,,0.21,,,,,
-53.62,-53.92,,0.3,,,,,
-53.48,-53.72,,0.24,,,,,
-53.51,-53.79,,0.28,,,,,
-53.44,-53.71,,0.27,,,,,
-53.35,-53.66,,0.31,,,,,
-53.39,-53.68,,0.29,,,,,
-53.36,-53.66,,0.3,,,,,
-53.32,-53.59,,0.27,,,,,
-53.35,-53.57,,0.22,,,,,
-53.19,-53.46,,0.27,,,,,
-53.16,-53.5,,0.34,,,,,
-53.17,-53.45,,0.28,,,,,
-53.08,-53.36,,0.28,,,,,
-53.09,-53.37,,0.28,,,,,
-53.01,-53.3,,0.29,,,,,
-52.96,-53.26,,0.3,,,,,
-52.86,-53.32,,0.46,,,,,
-52.85,-53.11,,0.26,,,,,
-52.79,-53.19,,0.4,,,,,
-52.84,-53.17,,0.33,,,,,
-52.75,-53.07,,0.32,,,,,
-52.74,-53.07,,0.33,,,,,
-52.77,-53,,0.23,,,,,
-52.65,-53,,0.35,,,,,
-52.62,-53.02,,0.4,,,,,
-52.62,-52.91,,0.29,,,,,
-52.49,-52.96,,0.47,,,,,
-52.53,-52.92,,0.39,,,,,
-52.43,-52.85,,0.42,,,,,
-52.51,-52.89,,0.38,,,,,
-52.42,-52.77,,0.35,,,,,
-52.38,-52.78,,0.4,,,,,
-52.34,-52.82,,0.48,,,,,
-52.32,-52.71,,0.39,,,,,
-52.23,-52.68,,0.45,,,,,
-52.27,-52.68,,0.41,,,,,
-52.25,-52.67,,0.42,,,,,
-52.15,-52.62,,0.47,,,,,
-52.22,-52.61,,0.39,,,,,
-52.14,-52.61,,0.47,,,,,
-52.1,-52.65,,0.55,,,,,
-52.06,-52.55,,0.49,,,,,
-52.05,-52.57,,0.52,,,,,
-51.89,-52.58,,0.69,,,,,
-51.99,-52.49,,0.5,,,,,
-52.01,-52.46,,0.45,,,,,
-51.93,-52.51,,0.58,,,,,
-51.87,-52.46,,0.59,,,,,
-51.9,-52.44,,0.54,,,,,
-51.88,-52.42,,0.54,,,,,
-51.81,-52.43,,0.62,,,,,
-51.75,-52.44,,0.69,,,,,
-51.76,-52.33,,0.57,,,,,
-51.78,-52.32,,0.54,,,,,
