Sig,Std Dev
4.748070719966272e-05,9.104211797255725e-09
4.69743670768273e-05,7.193069405989658e-09
4.869559151830455e-05,1.0142223681694674e-08
5.1919599003265834e-05,1.0613559346293587e-08
5.0417519903810896e-05,8.724071034381455e-09
5.0334660468421825e-05,9.04368782222365e-09
4.9658400612362515e-05,1.1448325326244767e-08
5.332961851493478e-05,8.205735650052445e-09
5.080317373913267e-05,9.027553753310869e-09
5.102098850846255e-05,9.500349453031346e-09
5.077036127787918e-05,9.231211322748831e-09
5.2601640189187916e-05,1.0163521192777681e-08
5.154346402329323e-05,1.0469053362882693e-08
5.206711309405784e-05,1.1037589444723403e-08
5.4790359501488544e-05,9.381225101669785e-09
5.28431131637901e-05,1.2397689043894673e-08
5.314597313929659e-05,1.075640166773227e-08
5.533137136591609e-05,9.352987552340153e-09
5.406354165455094e-05,9.108768539495295e-09
5.109589097469183e-05,1.0007930878473662e-08
5.200053203012803e-05,9.695315954783978e-09
5.524392960955464e-05,1.0435660370421888e-08
5.736818731373888e-05,9.839806827101629e-09
5.42801659143433e-05,1.0870804467005106e-08
5.6453236017884927e-05,8.816712083527785e-09
5.8124541401387387e-05,1.1166832928890384e-08
5.714570105162259e-05,7.866907174612345e-09
5.911625986581433e-05,8.836728560199531e-09
5.9677790918326395e-05,1.2164610001046928e-08
5.9992465217951365e-05,1.0030123009822112e-08
5.785126699420967e-05,1.0881173849961634e-08
6.34528064524531e-05,9.522955369693415e-09
5.9718610021013534e-05,8.746269371548081e-09
5.9688417674451064e-05,1.0838923890855028e-08
6.0475471636234156e-05,1.0171697745265338e-08
6.0237182749551446e-05,9.977167044640045e-09
6.0993573823383595e-05,1.0071607295813837e-08
6.094396741229821e-05,1.1542396814680182e-08
6.100936245575848e-05,8.622951913276232e-09
6.121447236259645e-05,9.99175155867568e-09
6.128085399569303e-05,1.0464762913910348e-08
6.329852071808687e-05,1.07485357990059e-08
6.480276273673974e-05,1.3037772835260097e-08
6.455711939837583e-05,1.1947372284370597e-08
6.582919907119599e-05,1.229049283601141e-08
6.769485623307887e-05,1.3067952966392937e-08
6.842481220667811e-05,1.053736517882689e-08
6.810072859462672e-05,1.1096678637551504e-08
6.78154236935782e-05,1.1233571076096701e-08
6.755688623026179e-05,1.1230942914124364e-08
6.941698513825381e-05,1.0763834399899841e-08
6.886995232415463e-05,1.001924556165338e-08
6.990803216471459e-05,9.996013651173568e-09
7.185795231414914e-05,1.2885623698999523e-08
7.353566516824298e-05,1.182512573716918e-08
7.35356568966353e-05,1.2070208810090424e-08
7.187766418451205e-05,1.1242660884119763e-08
7.760393649349948e-05,1.2709068889739806e-08
7.588495396641851e-05,1.1851501246367737e-08
7.728088362752973e-05,1.1899892409132052e-08
7.899074243071657e-05,1.1256732164265164e-08
7.987667964941603e-05,1.248565189003584e-08
8.085072316718252e-05,1.2440301167906751e-08
8.162668860066934e-05,1.0024697755338578e-08
8.339470391601048e-05,1.2610868555469393e-08
8.662510569951889e-05,1.1016587405168676e-08
8.486319436610796e-05,1.2241668358774595e-08
