Sig,Std Dev
4.783325109089363e-06,5.074856400858731e-09
7.183311385326285e-06,5.308727576981184e-09
1.2235364215643595e-05,6.444638147175732e-09
1.1513256613235083e-05,6.378054326721965e-09
1.8901540199602922e-05,6.332211898336936e-09
2.15291181972669e-05,5.712843984451123e-09
1.8140871039857954e-05,6.386697335333875e-09
1.358592658309039e-05,5.5118779173233945e-09
9.942977183699364e-06,7.83719255906498e-09
1.0930919578997517e-05,6.6184511369949556e-09
1.2124443438624648e-05,5.9844705230329784e-09
1.1667835773687134e-05,5.136010536269335e-09
1.3393032792405127e-05,9.001055006170733e-09
3.6249792641944353e-06,5.09531168690867e-09
8.372277271990172e-06,6.634973274397745e-09
3.5087937199693894e-06,4.0482491714171115e-09
3.708387512025593e-06,4.0755747990301445e-09
6.288893727922707e-06,4.959698532948664e-09
7.463933988838465e-06,5.649009212179498e-09
1.826581907544584e-05,6.899599564212445e-09
1.7055023271396107e-05,1.0452338820468783e-08
1.1142079016652328e-05,6.80780749735901e-09
9.899418479314115e-06,6.061103101739064e-09
1.4356959536527912e-05,5.853189638989913e-09
8.257400221696581e-06,5.34754852584332e-09
6.100804920384025e-06,4.837176518030689e-09
7.959264789920633e-06,5.042193094318841e-09
5.477630560190305e-06,4.741787507562006e-09
7.478713087036576e-06,7.374332754250896e-09
9.71896580973425e-06,5.346887982283974e-09
6.399269461522584e-06,5.7816519385168215e-09
4.65197799915725e-06,6.642442651854617e-09
1.5366212296155165e-05,6.149931320129022e-09
1.6355373158634772e-05,5.776263657684023e-09
6.18617951274889e-06,5.361831743324487e-09
5.5018561041892464e-06,5.524911707529739e-09
1.5479669912885238e-05,5.872962337909354e-09
2.2286737077645246e-05,5.961714019599831e-09
1.637222843978384e-05,5.318049096450594e-09
2.092570775178257e-05,5.5898498469875654e-09
2.181000246934329e-05,9.194440463377648e-09
1.1311794343269759e-05,5.8284983093725546e-09
1.0967016150924579e-05,5.864385737193779e-09
6.746752401016015e-06,5.166220953268207e-09
1.1662566810420791e-05,5.747773551644879e-09
1.031984887078144e-05,6.219694325891029e-09
8.842873134774034e-06,5.38535027932986e-09
6.32585367679232e-06,5.045461929706252e-09
9.37565151568432e-06,6.306320198714684e-09
1.189365657857506e-05,5.877269486306021e-09
