Date,Label,Run,Pump,Stokes,Probe,Frequency,Signal,Notes
23-4-11,Forward Sapphire,1,25,25,25,1/frequency.csv,1/signal.csv,better sample stage alignment - probe power@detector & includes LO - pump 1535 nm probe 1549 nm - filter 1549.02 - 100 KHz step - 20 mV range - 100-140MHz
23-4-11,Forward Sapphire,1,31,31,25,2/frequency.csv,2/signal.csv,10 KHz step - 20 mV range - 100-140MHz
