Date,Label,Probe,Filepath,Notes
21-9-14,0 bs,20,0/bs.csv,10kHz RBW - 25 avg - 20s sweep - dither
,0 bas,0,0/bas.csv,
,0 ras,20,0/ras.csv, (57.07mW@probeVOA)
,0 rs,20,0/rs.csv,
,80 bs,20,80/bs.csv,
,80 bas,0,80/bas.csv,
,80 ras,20,80/ras.csv,
,80 rs,20,80/rs.csv,
,170 rs,20,170/rs.csv,
,170 ras,20,170/ras.csv,
,170 bas,0,170/bas.csv,
,170 bs,0,170/bs.csv,
