Date,Label,Run,Data,Start Time,End Time (hr:min:sec),Pump,Stokes,Probe,Frequency,Signal,Range,Dwell,Bandwidth,Data Rate,Order,Start Frequency, Stop Frequency,Step,Notes
23-04-21,,2,Background,15:49:31,16:11:54,146.1,40.4,,,,0.02,1,1000,1.842000e+09,8,1.150000e+10,1.250000e+10,5.004560e+06,59.59 mW probe
23-04-21,,2,Signal,16:12:15,16:34:38,,,,2/frequency.csv,2/signal.csv,0.02,1,1000,1.842000e+09,8,1.150000e+10,1.250000e+10,5.004560e+06,
